X_id,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,geometry
1,GO-2004111878,1073106000000,2004,January,3,Saturday,3,D53,Other,98,Rosedale-Moore Park,98,Rosedale-Moore Park (98),"{'type': 'MultiPoint', 'coordinates': [[-79.3928283609999, 43.685026441]]}"
2,GO-2004125755,1073538000000,2004,January,8,Thursday,8,D42,Shooting,142,Woburn North,137,Woburn (137),"{'type': 'MultiPoint', 'coordinates': [[-79.233852025, 43.781781696]]}"
3,GO-2004136086,1073538000000,2004,January,8,Thursday,8,D42,Shooting,146,Malvern East,132,Malvern (132),"{'type': 'MultiPoint', 'coordinates': [[-79.205574184, 43.810544206]]}"
4,GO-2004148623,1075006800000,2004,January,25,Sunday,25,D13,Shooting,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),"{'type': 'MultiPoint', 'coordinates': [[-79.434387326, 43.670467021]]}"
5,GO-2004148619,1075006800000,2004,January,25,Sunday,25,D42,Shooting,144,Morningside Heights,131,Rouge (131),"{'type': 'MultiPoint', 'coordinates': [[-79.204958114, 43.8229965730001]]}"
6,GO-2004152518,1077253200000,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),"{'type': 'MultiPoint', 'coordinates': [[-79.508609544, 43.7208566460001]]}"
7,GO-2004152518,1077253200000,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),"{'type': 'MultiPoint', 'coordinates': [[-79.508609544, 43.7208566460001]]}"
8,GO-2004172092,1077339600000,2004,February,21,Saturday,52,D31,Shooting,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),"{'type': 'MultiPoint', 'coordinates': [[-79.508970644, 43.722381946]]}"
9,GO-2004133635,1077339600000,2004,February,21,Saturday,52,D23,Other,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),"{'type': 'MultiPoint', 'coordinates': [[-79.5928500649999, 43.74312897]]}"
10,GO-2004218803,1078290000000,2004,March,3,Wednesday,63,D42,Shooting,144,Morningside Heights,131,Rouge (131),"{'type': 'MultiPoint', 'coordinates': [[-79.2275699799999, 43.8163334700001]]}"
11,GO-2004218585,1078290000000,2004,March,3,Wednesday,63,D42,Shooting,129,Agincourt North,129,Agincourt North (129),"{'type': 'MultiPoint', 'coordinates': [[-79.26649114, 43.80803136]]}"
12,GO-2004301868,1078290000000,2004,March,3,Wednesday,63,D54,Shooting,58,Old East York,58,Old East York (58),"{'type': 'MultiPoint', 'coordinates': [[-79.328765835, 43.6959378070001]]}"
13,GO-2004200779,1078376400000,2004,March,4,Thursday,64,D41,Shooting,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),"{'type': 'MultiPoint', 'coordinates': [[-79.286725068, 43.700100013]]}"
14,GO-2004229133,1079154000000,2004,March,13,Saturday,73,D41,Stabbing,142,Woburn North,137,Woburn (137),"{'type': 'MultiPoint', 'coordinates': [[-79.241651226, 43.7679600920001]]}"
15,GO-2004219659,1079586000000,2004,March,18,Thursday,78,D53,Other,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),"{'type': 'MultiPoint', 'coordinates': [[-79.427477398, 43.709723265]]}"
16,GO-2004219687,1080104400000,2004,March,24,Wednesday,84,D42,Other,141,Golfdale-Cedarbrae-Woburn,137,Woburn (137),"{'type': 'MultiPoint', 'coordinates': [[-79.225236175, 43.759829605]]}"
17,GO-2004256410,1080795600000,2004,April,1,Thursday,92,D51,Other,73,Moss Park,73,Moss Park (73),"{'type': 'MultiPoint', 'coordinates': [[-79.371002854, 43.6582965970001]]}"
18,GO-2004250857,1081828800000,2004,April,13,Tuesday,104,D23,Shooting,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),"{'type': 'MultiPoint', 'coordinates': [[-79.550551371, 43.725094923]]}"
19,GO-2004350484,1083384000000,2004,May,1,Saturday,122,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),"{'type': 'MultiPoint', 'coordinates': [[-79.5792481729999, 43.7352650770001]]}"
20,GO-2004311851,1084593600000,2004,May,15,Saturday,136,D31,Shooting,24,Black Creek,24,Black Creek (24),"{'type': 'MultiPoint', 'coordinates': [[-79.518741914, 43.7692318860001]]}"
21,GO-2004311870,1084939200000,2004,May,19,Wednesday,140,D22,Stabbing,20,Alderwood,20,Alderwood (20),"{'type': 'MultiPoint', 'coordinates': [[-79.544133426, 43.5943351710001]]}"
22,GO-2004374908,1085025600000,2004,May,20,Thursday,141,D13,Other,31,Yorkdale-Glen Park,31,Yorkdale-Glen Park (31),"{'type': 'MultiPoint', 'coordinates': [[-79.4570370389999, 43.7101577550001]]}"
23,GO-2004408720,1085112000000,2004,May,21,Friday,142,D23,Other,3,Thistletown-Beaumond Heights,3,Thistletown-Beaumond Heights (3),"{'type': 'MultiPoint', 'coordinates': [[-79.5779604729999, 43.736820175]]}"
24,GO-2004374867,1085112000000,2004,May,21,Friday,142,D51,Shooting,72,Regent Park,72,Regent Park (72),"{'type': 'MultiPoint', 'coordinates': [[-79.3630013599999, 43.660089699]]}"
25,GO-2004308782,1085198400000,2004,May,22,Saturday,143,D31,Shooting,29,Maple Leaf,29,Maple Leaf (29),"{'type': 'MultiPoint', 'coordinates': [[-79.479389137, 43.7147342480001]]}"
26,GO-2004418221,1085457600000,2004,May,25,Tuesday,146,D11,Other,86,Roncesvalles,86,Roncesvalles (86),"{'type': 'MultiPoint', 'coordinates': [[-79.43871612, 43.642455392]]}"
27,GO-2004456650,1086062400000,2004,June,1,Tuesday,153,D51,Other,73,Moss Park,73,Moss Park (73),"{'type': 'MultiPoint', 'coordinates': [[-79.373332453, 43.6604213000001]]}"
28,GO-2004455137,1086321600000,2004,June,4,Friday,156,D14,Shooting,85,South Parkdale,85,South Parkdale (85),"{'type': 'MultiPoint', 'coordinates': [[-79.428116624, 43.6359764800001]]}"
29,GO-2004456829,1087531200000,2004,June,18,Friday,170,D51,Stabbing,73,Moss Park,73,Moss Park (73),"{'type': 'MultiPoint', 'coordinates': [[-79.369449053, 43.654522394]]}"
30,GO-2004510813,1087617600000,2004,June,19,Saturday,171,D31,Shooting,23,Pelmo Park-Humberlea,23,Pelmo Park-Humberlea (23),"{'type': 'MultiPoint', 'coordinates': [[-79.535123133, 43.711212833]]}"
