year,month,day,day_of_week,homicide_type,hood_158,hood_140
2004,January,3,Saturday,Other,98,98
2004,January,8,Thursday,Shooting,142,137
2004,January,8,Thursday,Shooting,146,132
2004,January,25,Sunday,Shooting,171,93
2004,January,25,Sunday,Shooting,144,131
2004,February,20,Friday,Stabbing,154,26
2004,February,20,Friday,Stabbing,154,26
2004,February,21,Saturday,Shooting,154,26
2004,February,21,Saturday,Other,2,2
2004,March,3,Wednesday,Shooting,144,131
2004,March,3,Wednesday,Shooting,129,129
2004,March,3,Wednesday,Shooting,58,58
2004,March,4,Thursday,Shooting,120,120
2004,March,13,Saturday,Stabbing,142,137
2004,March,18,Thursday,Other,39,39
2004,March,24,Wednesday,Other,141,137
2004,April,1,Thursday,Other,73,73
2004,April,13,Tuesday,Shooting,5,5
2004,May,1,Saturday,Shooting,2,2
2004,May,15,Saturday,Shooting,24,24
2004,May,19,Wednesday,Stabbing,20,20
2004,May,20,Thursday,Other,31,31
2004,May,21,Friday,Other,3,3
2004,May,21,Friday,Shooting,72,72
2004,May,22,Saturday,Shooting,29,29
2004,May,25,Tuesday,Other,86,86
2004,June,1,Tuesday,Other,73,73
2004,June,4,Friday,Shooting,85,85
2004,June,18,Friday,Stabbing,73,73
2004,June,19,Saturday,Shooting,23,23
2004,July,1,Thursday,Shooting,24,24
2004,July,5,Monday,Stabbing,121,121
2004,July,7,Wednesday,Stabbing,16,16
2004,July,8,Thursday,Stabbing,28,28
2004,July,9,Friday,Stabbing,151,51
2004,July,12,Monday,Other,146,132
2004,July,21,Wednesday,Shooting,48,48
2004,July,23,Friday,Other,90,90
2004,July,24,Saturday,Shooting,73,73
2004,August,5,Thursday,Other,171,93
2004,August,18,Wednesday,Stabbing,28,28
2004,August,19,Thursday,Stabbing,108,108
2004,August,30,Monday,Shooting,134,134
2004,August,30,Monday,Other,73,73
2004,August,31,Tuesday,Stabbing,22,22
2004,September,5,Sunday,Shooting,6,6
2004,September,21,Tuesday,Shooting,1,1
2004,September,22,Wednesday,Other,27,27
2004,October,8,Friday,Other,70,70
2004,October,15,Friday,Shooting,28,28
2004,October,21,Thursday,Other,88,88
2004,October,27,Wednesday,Other,99,99
2004,November,12,Friday,Other,92,92
2004,December,1,Wednesday,Stabbing,172,93
2004,December,1,Wednesday,Stabbing,172,93
2004,December,2,Thursday,Other,133,133
2004,December,3,Friday,Stabbing,58,58
2004,December,11,Saturday,Stabbing,40,40
2004,December,11,Saturday,Stabbing,79,79
2004,December,12,Sunday,Stabbing,54,54
2004,December,19,Sunday,Shooting,168,75
2004,December,19,Sunday,Shooting,124,124
2004,December,20,Monday,Shooting,44,44
2004,December,31,Friday,Stabbing,123,123
2005,January,14,Friday,Stabbing,130,130
2005,January,18,Tuesday,Stabbing,172,93
2005,January,21,Friday,Shooting,162,82
2005,January,21,Friday,Shooting,162,82
2005,January,24,Monday,Other,116,116
2005,January,26,Wednesday,Other,24,24
2005,February,11,Friday,Shooting,126,126
2005,February,11,Friday,Other,91,91
2005,February,12,Saturday,Shooting,2,2
2005,February,15,Tuesday,Shooting,126,126
2005,February,15,Tuesday,Shooting,74,74
2005,February,18,Friday,Other,160,17
2005,February,28,Monday,Shooting,36,36
2005,March,5,Saturday,Shooting,42,42
2005,March,11,Friday,Stabbing,16,16
2005,March,25,Friday,Shooting,167,75
2005,April,13,Wednesday,Shooting,122,122
2005,April,18,Monday,Shooting,85,85
2005,April,19,Tuesday,Other,165,77
2005,April,24,Sunday,Shooting,21,21
2005,May,4,Wednesday,Stabbing,129,129
2005,May,5,Thursday,Shooting,171,93
2005,May,5,Thursday,Stabbing,25,25
2005,May,8,Sunday,Shooting,66,66
2005,May,14,Saturday,Shooting,167,75
2005,May,15,Sunday,Shooting,128,128
2005,May,18,Wednesday,Shooting,136,136
2005,May,27,Friday,Stabbing,25,25
2005,June,12,Sunday,Shooting,62,62
2005,June,24,Friday,Shooting,24,24
2005,June,25,Saturday,Stabbing,32,32
2005,June,29,Wednesday,Shooting,172,93
2005,July,6,Wednesday,Shooting,22,22
2005,July,15,Friday,Other,136,136
2005,July,17,Sunday,Other,121,121
2005,July,19,Tuesday,Shooting,111,111
2005,July,20,Wednesday,Other,149,45
2005,July,30,Saturday,Shooting,148,117
2005,July,30,Saturday,Shooting,32,32
2005,July,31,Sunday,Shooting,168,75
2005,August,3,Wednesday,Shooting,2,2
2005,August,5,Friday,Shooting,147,117
2005,August,7,Sunday,Shooting,71,71
2005,August,7,Sunday,Shooting,71,71
2005,August,13,Saturday,Shooting,8,8
2005,August,15,Monday,Shooting,71,71
2005,August,16,Tuesday,Shooting,44,44
2005,August,18,Thursday,Other,156,127
2005,August,20,Saturday,Other,18,18
2005,August,25,Thursday,Shooting,139,139
2005,August,30,Tuesday,Shooting,25,25
2005,August,31,Wednesday,Other,73,73
2005,September,6,Tuesday,Stabbing,42,42
2005,September,8,Thursday,Shooting,28,28
2005,September,9,Friday,Shooting,163,82
2005,September,10,Saturday,Shooting,24,24
2005,September,13,Tuesday,Shooting,25,25
2005,September,16,Friday,Shooting,85,85
2005,September,16,Friday,Shooting,5,5
2005,September,16,Friday,Shooting,5,5
2005,September,16,Friday,Shooting,5,5
2005,September,19,Monday,Stabbing,33,33
2005,September,22,Thursday,Other,58,58
2005,October,1,Saturday,Stabbing,136,136
2005,October,22,Saturday,Shooting,2,2
2005,October,23,Sunday,Shooting,2,2
2005,October,23,Sunday,Shooting,2,2
2005,November,1,Tuesday,Shooting,147,117
2005,November,2,Wednesday,Other,54,54
2005,November,5,Saturday,Other,85,85
2005,November,9,Wednesday,Shooting,108,108
2005,November,12,Saturday,Stabbing,153,51
2005,November,14,Monday,Shooting,91,91
2005,November,18,Friday,Shooting,2,2
2005,November,26,Saturday,Stabbing,126,126
2005,November,29,Tuesday,Shooting,171,93
2005,December,1,Thursday,Shooting,NSA,NSA
2005,December,16,Friday,Other,102,102
2005,December,23,Friday,Shooting,25,25
2005,December,26,Monday,Shooting,64,64
2006,January,1,Sunday,Shooting,108,108
2006,January,26,Thursday,Other,39,39
2006,February,6,Monday,Shooting,25,25
2006,February,8,Wednesday,Stabbing,44,44
2006,February,9,Thursday,Stabbing,147,117
2006,February,9,Thursday,Stabbing,147,117
2006,February,9,Thursday,Stabbing,147,117
2006,March,2,Thursday,Other,61,61
2006,March,4,Saturday,Other,134,134
2006,March,12,Sunday,Shooting,22,22
2006,March,14,Tuesday,Shooting,139,139
2006,March,20,Monday,Shooting,74,74
2006,March,27,Monday,Shooting,115,115
2006,March,27,Monday,Shooting,25,25
2006,April,7,Friday,Other,21,21
2006,April,20,Thursday,Stabbing,155,26
2006,April,26,Wednesday,Stabbing,47,47
2006,April,29,Saturday,Shooting,44,44
2006,April,29,Saturday,Stabbing,18,18
2006,May,2,Tuesday,Stabbing,66,66
2006,May,15,Monday,Stabbing,78,78
2006,May,17,Wednesday,Other,61,61
2006,May,26,Friday,Other,106,106
2006,May,28,Sunday,Shooting,141,137
2006,June,2,Friday,Other,66,66
2006,June,3,Saturday,Stabbing,155,26
2006,June,3,Saturday,Shooting,113,113
2006,June,12,Monday,Shooting,28,28
2006,June,13,Tuesday,Stabbing,115,115
2006,June,22,Thursday,Stabbing,154,26
2006,June,23,Friday,Shooting,145,132
2006,June,23,Friday,Other,167,75
2006,June,26,Monday,Shooting,166,77
2006,July,2,Sunday,Shooting,90,90
2006,July,5,Wednesday,Shooting,20,20
2006,July,11,Tuesday,Shooting,168,75
2006,July,12,Wednesday,Shooting,144,131
2006,July,12,Wednesday,Shooting,115,115
2006,July,12,Wednesday,Shooting,144,131
2006,July,14,Friday,Stabbing,1,1
2006,July,15,Saturday,Stabbing,54,54
2006,July,17,Monday,Shooting,54,54
2006,July,27,Thursday,Other,146,132
2006,August,5,Saturday,Other,85,85
2006,September,11,Monday,Stabbing,170,76
2006,September,11,Monday,Stabbing,170,76
2006,September,14,Thursday,Shooting,148,117
2006,September,17,Sunday,Stabbing,116,116
2006,September,17,Sunday,Shooting,85,85
2006,September,17,Sunday,Other,142,137
2006,September,21,Thursday,Other,122,122
2006,September,22,Friday,Other,167,75
2006,September,25,Monday,Shooting,21,21
2006,October,6,Friday,Other,158,14
2006,October,9,Monday,Shooting,43,43
2006,October,11,Wednesday,Stabbing,71,71
2006,October,17,Tuesday,Other,119,119
2006,October,21,Saturday,Stabbing,134,134
2006,October,27,Friday,Other,16,16
2006,October,27,Friday,Shooting,164,77
2006,November,5,Sunday,Stabbing,43,43
2006,November,5,Sunday,Stabbing,43,43
2006,November,14,Tuesday,Shooting,145,132
2006,November,25,Saturday,Other,87,87
2006,December,3,Sunday,Shooting,165,77
2006,December,3,Sunday,Other,144,131
2006,December,20,Wednesday,Other,72,72
2006,December,25,Monday,Shooting,85,85
2006,December,26,Tuesday,Stabbing,4,4
